product_name,price_of_the_product,properties,star_ratings,no_of_ratings,no_of_reviews
Aquagrand NYC Model ro + uv + uf + tds Water Purifier 12 L RO + UV + UF + TDS Water Purifier,"₹5,099","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4.1,65,10
KENT ACE Plus 8 L RO + UV + UF + TDS Control + UV in Tank Water Purifier,"₹15,250","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"1,044",123
Grand plus Misty port 15 ltr 15 L Gravity Based Water Purifier,"₹1,389","['Non - Electrical & Storage', 'Gravity Based', '15 L Capacity', '3 month warranty on only mechanical parts']",3.8,385,62
Grand plus GP PORT 15 L 15 L Gravity Based Water Purifier,"₹1,401","['Non - Electrical & Storage', 'Gravity Based', '15 L Capacity', 'ONLY MANUFACTURER']",3.8,436,38
Blue Star ETERNIA  LED UV Water Purifier,"₹6,990","['Electrical & Non - Storage', 'UV', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables and Plastics']",3.8,42,8
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,342",428
Aqua Fresh Omega New Skyland Ro+Uv+Uf+tds+cpr 18 L RO + UV + UF + TDS Water Purifier,"₹5,499","['Electrical & Storage', 'RO + UV + UF + TDS', '18 L Capacity', ""Warranty on MOTER/SMPS available from Manufacture. But Installation amount will be paid by customer 450-600/- . If any problem occurs during warranty period Then buyer will make courier at Manufacture or service center address after that Manufacture will replace MOTER/SMPS (Manufacture will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) Ã¢?Â¢ All service will chargeable.""]",4.7,3,0
nexus pure DRIFT 4 COPPER + ALKALINE 14 L RO + UV + UF + TDS Water Purifier,"₹6,599","['Electrical & Storage', 'RO + UV + UF + TDS', '14 L Capacity', '6 MONTH WARRANTY APPLICABLE ONLY ON SMPS POWER SUPPLY']",4,"1,294",495
Blue Star Majesto 8 L RO Water Purifier,"₹11,299","['Electrical & Storage', 'RO', '8 L Capacity', '1 year Domestic Warranty, Consumables and Plastics not covered warranty however RO Membrane gets clogged within the first year and/or if the filters get clogged within the first six months, they shall be cleaned/repaired/replaced at no extra charge']",4.1,346,76
FABER FWP GALAXY PRO 7 L RO + MAT Water Purifier,"₹7,990","['Electrical & Storage', 'RO + MAT', '7 L Capacity', '1 year warranty on product']",3.5,11,1
NASAKA Xtra Sure Direct 20 L Gravity Based Water Purifier,"₹2,080","['Non - Electrical & Storage', 'Gravity Based', '20 L Capacity', '1 Year Domestic Warranty']",4.3,10,1
KENT Grand Star 9 L RO Water Purifier (White) 9 L RO + UV + UF + TDS Water Purifier,"₹18,500","['Electrical & Non - Storage', 'RO + UV + UF + TDS', '9 L Capacity', '1 year domestic manufacturer warranty']",4.3,44,4
Protek Elite Plus with L.E.D Indicators 12 L RO + UV + UF + TDS Water Purifier,"₹5,899","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '1 Year Warranty on Electrical Parts & 6 Months Warranty on Filter`s']",3.8,"2,052",539
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.5,405,49
V-Guard Zenora RO+UV+MB 7 L RO + UV + MB Water Purifier,"₹10,864","['Electrical & Storage', 'RO + UV + MB', '7 L Capacity', 'One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit, if applicable, will be free for the customer.']",4.3,165,37
Faber FWP CASPER 10 L RO + UV + MAT Water Purifier,"₹9,499","['Electrical & Storage', 'RO + UV + MAT', '10 L Capacity', '12 months Warranty on Product. It includes manufacturing defects but excludes physical damage. Technician Visit, if applicable, will be charged to the customer']",4.2,33,9
KENT ELEGANT LITE 8 L RO + UF + TDS Water Purifier,"₹12,875","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty + 3 Years free service']",none,none,none
KENT Ace Extra 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier with Alkaline Wat...,"₹16,200","['Electrical & Storage', 'RO + UV + UF + TDS Control + Alkaline + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,005",373
"KENT GRAND PLUS ZWW 9 LTR MINERAL RO+UV+UF+TDS CONTROL+ UV LED IN TANK, (WHITE) 20LTR/HR 20 L RO + UV ...","₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '20 L Capacity', '1 YEAR WARARNTY + 3 YEAR FREE SERVICE']",4.4,135,14
V-Guard RO+UF+MB White 7 L RO + UF + MB Water Purifier,"₹8,919","['Electrical & Storage', 'RO + UF + MB', '7 L Capacity', 'One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit, if applicable, will be free for the customer.']",4.2,331,75
Aquagrand NYC Model 12 L ALKALINE VITAMIN B12 + RO + UV + UF + TDS+ALKALINE B12 12 L RO + UV + UF + TD...,"₹5,299","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4.5,11,2
KENT Ace 8 L RO + UV + UF + TDS Water Purifier,"₹13,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"39,144","5,163"
Aquaguard Reviva 50 8 L RO Water Purifier,"₹11,999","['Electrical & Storage', 'RO', '8 L Capacity', '1 Year Manufaturer Warranty']",3.2,25,2
KENT ACE (11032) 8 L RO + UV + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty + 3 Years free service']",4.3,"13,443","2,175"
Aqua Fresh NYC W COPPER+RO+UV+TDS 15 L WHITE AUTOMATIC ELECTRICAL BOREWELL 1500 TDS BEST HOME WATER PU...,"₹5,699","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '6 MONTH OFFSITE WARRANTY ON PUMP & SMPS, INSTALLATION WILL BE PROVIDED BY SELLER, BUYER HAS TO PAY RS. 400-700 FOR INSTALLATION OUR TECHNICIAN WILL VISIT BUYER WITH IN 2 TO 4 DAYS for query/installation 8178961873 between 10 am to 6 pm. after installation every visit will be chargeable 300. SUNDAY closed.']",3.8,"4,825",927
KENT ACE Plus 8 L RO + UV + UF + TDS Control + UV in Tank Water Purifier,"₹15,250","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"1,129",126
KENT PEARL(11002) 8 L RO + UV + UF Water Purifier,"₹17,300","['Electrical & Storage', 'RO + UV + UF', '8 L Capacity', '1 Year Warranty + 3 Years free service']",4.4,"1,211",180
Aqua Fresh Omega skyland 18 L RO + UV + UF + TDS Water Purifier,"₹5,499","['Electrical & Storage', 'RO + UV + UF + TDS', '18 L Capacity', ""Warranty on MOTER/SMPS available from Manufacture. But Installation amount will be paid by customer 450-600/- . If any problem occurs during warranty period Then buyer will make courier at Manufacture or service center address after that Manufacture will replace MOTER/SMPS (Manufacture will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) Ã¢?Â¢ All service will chargeable.""]",4.8,4,0
Aqua NYC W COPPER+RO+UV+TDS 15 L WHITE AUTOMATIC ELECTRICAL BOREWELL 1500 TDS BEST HOME WATER PURIFIER...,"₹5,016","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",3.7,21,0
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,335",428
Faber FWP CASPER PLUS 10 L RO + UV Water Purifier,"₹10,490","['Electrical & Storage', 'RO + UV', '10 L Capacity', '12 months Warranty on Product. It includes manufacturing defects but excludes physical damage. Technician Visit, if applicable, will be charged to the customer']",4.2,32,5
NASAKA Xtra Sure 20 L by Okaya and Microtek 20 L Gravity Based Water Purifier,"₹1,756","['Non - Electrical & Storage', 'Gravity Based', '20 L Capacity', 'Warranty on manufecturing defect']",4.2,5,0
Pureit COPPER+ ECO 8 L RO + UV + MF + Minerals Water Purifier,"₹20,499","['Electrical & Storage', 'RO + UV + MF + Minerals', '8 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",3.9,22,3
FABER FWP GALAXY PRO 7 L RO + MAT Water Purifier,"₹7,990","['Electrical & Storage', 'RO + MAT', '7 L Capacity', '1 year warranty on product']",3.5,12,1
Blue Star Eleanor 8 L RO + UV + UF Water Purifier,"₹12,990","['Electrical & Storage', 'RO + UV + UF', '8 L Capacity', '1 Year Warranty on Product']",4.1,76,4
EUREKA FORBES Amaze 7 L RO + UV + UF + TDS Water Purifier,"₹11,499","['Electrical & Storage', 'RO + UV + UF + TDS', '7 L Capacity', '1 Year Manufacturer Warranty from the Date of Purchase']",3.5,114,28
FABER Galaxy Plus mineral 8 stage 9 L RO + UV + MAT Water Purifier,"₹11,490","['Electrical & Storage', 'RO + UV + MAT', '9 L Capacity', '12 months Warranty on Product. It includes manufacturing defects but excludes physical damage. Technician Visit, if applicable, will be charged to the customer']",4.2,262,70
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,403,49
LIVPURE Linea Copper 5 L RO + UV + UF Water Purifier,"₹12,499","['Electrical & Storage', 'RO + UV + UF', '5 L Capacity', '1 Year Warranty']",4.1,86,33
Aqua Flow Enterprises Aquaflow Alfa Transparent 12 L RO + UV + UF + TDS Water Purifier,"₹6,299","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', 'one year warranty on electronic parts, pump is not covered in warranty .']",3.8,4,0
Aqua Epic Model Mineral ALKALINE ro+uv+uf+tds 12 L ALKALINE + 15 L RO + UV + UF + TDS Water Purifier,"₹5,199","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '6 Months offsite warranty on all electronic parts']",4.1,12,2
KENT Ace Extra 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier with Alkaline Wat...,"₹16,200","['Electrical & Storage', 'RO + UV + UF + TDS Control + Alkaline + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,001",373
KENT Grand Plus ZW 9 L RO + UV + UF + TDS Water Purifier,"₹16,490","['Electrical & Storage', 'RO + UV + UF + TDS', '9 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.3,46,6
Blue Star Majesto 8 L RO + UV Water Purifier,"₹12,529","['Electrical & Storage', 'RO + UV', '8 L Capacity', '1 year Domestic Warranty, Consumables and Plastics not covered warranty however RO Membrane gets clogged within the first year and/or if the filters get clogged within the first six months, they shall be cleaned/repaired/replaced at no extra charge']",4,226,50
SAMTA Techno Under The Counter/Under Sink 10 Litre  + Alkaline(Korean) + Antioxident + Reducing ORP + ...,"₹10,440","['Electrical & Storage', 'RO', '10 L Capacity', '12 months replacement of electrical part .customer care 720 620 3608']",none,none,none
KENT Ace 8 L RO + UV + UF + TDS Water Purifier,"₹13,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"39,144","5,163"
Grand plus Golden Audy 12 L RO + UV + UF + TDS Water Purifier,"₹5,499","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', ""Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) All service will chargeable""]",3.8,38,9
Aquatec Plus Advanced Alkaline 12 L RO + UV + UF + TDS Water Purifier,"₹9,300","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '1 Year Manufacturer Warranty.*']",4.6,45,23
MarQ By Flipkart MQWPAROUVB7L 7 L RO + UV Water Purifier with Mineraliser & Copper,"₹8,999","['Electrical & Storage', 'RO + UV', '7 L Capacity', '1 Year Warranty Provided by the Manufacturer/Authorized Service Partner from Date of Purchase']",4.2,498,136
KENT ACE Plus 8 L RO + UV + UF + TDS Control + UV in Tank Water Purifier,"₹15,250","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"1,044",123
LIVPURE Envy Plus 8 L RO + UV + UF Water Purifier,"₹16,699","['Electrical & Storage', 'RO + UV + UF', '8 L Capacity', 'I Year Manufacturer Warranty']",4.1,31,5
Aquaguard Apex 8 L UV + UF Water Purifier with Active Copper technology,"₹9,999","['Electrical & Storage', 'UV + UF', '8 L Capacity', '1 Year Manufacturer Warranty from the Date of Purchase']",3.9,31,6
Pureit Copper Plus Mineral 8 L RO + UV + MF Water Purifier,"₹22,440","['Electrical & Storage', 'RO + UV + MF', '8 L Capacity', '1 Year Warranty']",4.5,8,0
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,342",428
KENT ultra 7 L UV + UF Water Purifier,"₹9,350","['Electrical & Storage', 'UV + UF', '7 L Capacity', '1']",3.9,91,12
Grand plus SWIFT TPT 14 L RO + UV + UF + TDS Water Purifier,"₹5,398","['Electrical & Storage', 'RO + UV + UF + TDS', '14 L Capacity', ""Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) Ã¢?Â¢ All service will chargeable""]",none,none,none
KONVIO Gravity based Water Purifier non Electric 14 L 14 L UF Water Purifier,"₹1,999","['Non - Electrical & Storage', 'UF', '14 L Capacity', 'NA']",3.8,53,6
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.5,405,49
Grand plus AQUA RED CANDY AT 15 L RO + UV + UF + TDS Water Purifier,"₹5,159","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', ""Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) Ã¢?Â¢ All service will chargeable""]",4.2,15,5
Aqua Grand Smart + RO UV UF TDS 14 LTR RO + UV + UF + TDS Water Purifier Machine 14 L RO + UV + UF + T...,"₹6,535","['Electrical & Storage', 'RO + UV + UF + TDS', '14 L Capacity', '3 Months offsite warranty on  Power Supply and Moter, Installation will be provided by seller, buyer has to pay RS. 400-500 for installation, our technician will visit buyer within 24 to 48 hours between 10 am to 5 pm. After installation visit will be chargeable. SUNDAY closed.']",4.7,3,1
Aquasure amrit ex 10 L Gravity Based Water Purifier,"₹1,950","['Non - Electrical & Storage', 'Gravity Based', '10 L Capacity', 'except damage everthing is covered']",4.2,17,1
KENT Ace Extra 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier with Alkaline Wat...,"₹16,200","['Electrical & Storage', 'RO + UV + UF + TDS Control + Alkaline + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,005",373
LG Puricare WW140NPR with Stainless Steel Tank 8 L RO Water Purifier,"₹16,149","['Electrical & Storage', 'RO', '8 L Capacity', '1 year on product and 10 years on stainless steel tank from Manufacturer']",4.3,13,3
Zero B SURAKSHA TAP ATTACHMENT 7500 L Gravity Based Water Purifier,₹418,"['Non - Electrical & Non - Storage', 'Gravity Based', '7500 L Capacity', 'One year of the tap attachment']",3.7,148,20
Aqua Nexon Black Model RO+UV+UF+TDS+Copper Filter 18 L RO + UV + UF + TDS Water Purifier,"₹5,199","['Electrical & Storage', 'RO + UV + UF + TDS', '18 L Capacity', '6 months domestic warranty']",4,14,1
KENT ACE Plus 8 L RO + UV + UF + TDS Control + UV in Tank Water Purifier,"₹15,250","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"1,129",126
HAVELLS UV Plus 7 L UV + UF Water Purifier,"₹9,690","['Electrical & Storage', 'UV + UF', '7 L Capacity', 'both domestic and international warranty for 1 yr.']",3.7,63,10
KENT GRAND (NEW) 8 L RO + UV + UF + TDS Water Purifier,"₹15,490","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty + 3 Years free service']",none,none,none
Ao Smith X8 9 L RO Water Purifier,"₹18,990","['Electrical & Storage', 'RO', '9 L Capacity', '1 Year Comprehensive Warranty & 1 Year RO Membrane warranty based on the input water TDS is < 2000 ppm and Hardness is < 400 ppm & 6 Months Warranty on Consumables/Filters.']",4.2,73,11
FABER FWP GALAXY FRESH 7 L RO + UV + MAT + pH Enhancer Water Purifier,"₹9,490","['Electrical & Storage', 'RO + UV + MAT + pH Enhancer', '7 L Capacity', '1 Year Warranty on Product']",3.7,7,4
Moonbow by Hindware Achelous 9 L RO + UV + UF + TDS Water Purifier,"₹10,468","['Electrical & Storage', 'RO + UV + UF + TDS', '9 L Capacity', 'RO Membrane - 1 Year, Filters - 6 Months, Electrical Parts - 1 Year']",3.7,54,16
LIVPURE GLITZ SILVER 7 L RO + UF Water Purifier,"₹10,200","['Electrical & Storage', 'RO + UF', '7 L Capacity', 'I Year Manufacturer Warranty']",4,23,1
Pureit by HUL Classic G2 Mineral 6 L RO + UV Water Purifier,"₹11,888","['Electrical & Storage', 'RO + UV', '6 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",4.3,338,49
FABER FWP GALAXY PRO PLUS BK 7 L RO + UV + MAT Water Purifier,"₹9,190","['Electrical & Storage', 'RO + UV + MAT', '7 L Capacity', '1 year warranty on product']",2.5,4,1
Aquaguard 1229101076003531 15 L RO + UV + UF + TDS Water Purifier,"₹18,000","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', 'PURCHASE DATE']",3.7,76,11
"HAVELLS Digiplus 6 L RO + UV Water Purifier 8 Stages, Double UV Purification","₹20,327","['Electrical & Storage', 'RO + UV', '6 L Capacity', '1 Year Warranty']",4.2,44,7
Grand plus BLUE SWIFT 10 LTRs 10 L RO + UV + UF + TDS Water Purifier,"₹5,129","['Electrical & Storage', 'RO + UV + UF + TDS', '10 L Capacity', ""Warranty on MOTER/SMPS available from Manufacture. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at Manufacture or service center address after that Manufacture will replace MOTER/SMPS (Manufacture will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) â?¢ All service will chargeable""]",3.9,43,9
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,342",428
Aqua Ultra AUANXT00321 14 L RO + UV + MTDS Water Purifier,"₹4,550","['Electrical & Storage', 'RO + UV + MTDS', '14 L Capacity', '12 Month']",3.3,6,1
Pureit CLASSIC NXT 7 L RO + MF Water Purifier,"₹7,549","['Electrical & Storage', 'RO + MF', '7 L Capacity', '1 YEAR PUREIT INDIA WARRANTY']",4.4,794,152
Grand plus RO UV UF TDS AUDI 12 L RO + UV + UF + TDS Water Purifier,"₹5,183","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', ""Warranty on MOTER/SMPS available from Manufacture. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at Manufacture or service center address after that Manufacture will replace MOTER/SMPS (Manufacture will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) â?¢ All service will chargeable""]",3.6,890,192
FABER FWP GALAXY PRO 7 L RO + MAT Water Purifier,"₹7,990","['Electrical & Storage', 'RO + MAT', '7 L Capacity', '1 year warranty on product']",3.5,11,1
aquadeal pure 15 L RO + UV + UF + TDS Water Purifier,"₹4,939","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '12 months replacement of electrical part .installation charges Rs400 & service Rs 250 customer care 720 620 3608']",4,632,124
SAMTA Ro+Uv+Uf+Tds Adjuster Mineral 18 L RO + UV + UF + MTDS Water Purifier,"₹5,690","['Electrical & Storage', 'RO + UV + UF + MTDS', '18 L Capacity', 'NA']",none,none,none
SAMTA AquaPure 15 L RO + UV + UF + TDS Water Purifier,"₹4,939","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '12 months replacement of electrical part .installation charges Rs400 & service Rs 250 customer care 720 620 3608']",3.9,448,88
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.5,405,49
SAMTA 14 Stage RO+UV+UF+TDS controller +Mineral 15 L RO + UV + UF + TDS Water Purifier,"₹5,699","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '12 Month replacement on electrical part']",4.5,2,1
Aqua SKYLAND Model 18 L ALKALINE VITAMIN B12 + COPPER FILTER + RO + UF + TDS+ALKALINE VITAMIN B12+COPP...,"₹5,224","['Electrical & Storage', 'RO + UF + TDS', '18 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4,178,35
aquadeal Combo RO + UV_LED + UF + TDS + ACTIVE COPPER 15 L RO + UV + UF + Copper Guard + pH enhancer W...,"₹11,390","['Electrical & Storage', 'RO + UV + UF + Copper Guard + pH enhancer', '15 L Capacity', '12 months manufacture domestic warranty of all electrical part excluding filters if applicable technicial visit free']",5,2,1
KENT Ace Extra 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier with Alkaline Wat...,"₹16,200","['Electrical & Storage', 'RO + UV + UF + TDS Control + Alkaline + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,005",373
LIVPURE Pep+ 7 L RO + UV + TDS Water Purifier,"₹13,710","['Electrical & Storage', 'RO + UV + TDS', '7 L Capacity', 'Both Domestic and International Warranty']",none,none,none
Aqua Fresh SKYLAND Model 18 L ALKALINE+ RO + UV + UF + TDS+ALKALINE 18 L RO + UV + UF + TDS Water Puri...,"₹5,499","['Electrical & Storage', 'RO + UV + UF + TDS', '18 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 9810392397 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4,100,22
HAVELLS Max 8 L RO + UV Water Purifier,"₹13,774","['Electrical & Storage', 'RO + UV', '8 L Capacity', '1 year']",4.3,158,25
KENT ACE Plus 8 L RO + UV + UF + TDS Control + UV in Tank Water Purifier,"₹15,250","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"1,129",126
Aqua Fresh SkyLand Model 18 L RO + UV + UF + TDS Water Purifier,"₹5,499","['Electrical & Storage', 'RO + UV + UF + TDS', '18 L Capacity', 'na']",3.7,36,10
LG WW151NPR 8 L RO + UV + Minerals Water Purifier,"₹20,590","['Electrical & Storage', 'RO + UV + Minerals', '8 L Capacity', '1 Year Company Domestic Warranty']",4.1,17,1
Grand plus Blue Swift 12 L RO + UV + UF + TDS Water Purifier 12 L RO + UV + UF + TDS Water Purifier,"₹4,904","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', ""Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days , and every visit will be chargeable after the installation (RS300/-)""]",3.6,15,4
FABER FWP GALAXY PRO PLUS BK 7 L RO + UV + MAT Water Purifier,"₹9,190","['Electrical & Storage', 'RO + UV + MAT', '7 L Capacity', '1 year warranty on product']",2.5,4,1
Royal Aquafresh COPPER MINERAL+ro+uv+tds 12 L RO + UV + UF + TDS Water Purifier,"₹5,499","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', 'Six month OFFSITE WARRANTY ON MOTER AND SMPS , INSTALLATION WILL BE PROVIDED BY SELLER, BUYER HAS TO PAY RS. 450-600 FOR INSTALLATION OUR TECHNICIAN WILL VISIT BUYER WITH IN 24 TO 48 HOURS for query/installation 9953991931 between 10 am to 6 pm. after installation every visit will be chargeable 300. SUNDAY closed']",3.6,238,33
Grand plus Aqua Swift Bl Ro Uv Uf Tds Controller With 14 Stage 10 L RO + UV + UF + TDS Water Purifier,"₹5,799","['Electrical & Storage', 'RO + UV + UF + TDS', '10 L Capacity', '6 Months']",3.7,3,0
Grand plus AQUA SWIFT BL RO UV UF TDS CONTROLLER WITH 14 STAGE 10 L RO + UV + UF + TDS Water Purifier,"₹4,959","['Electrical & Storage', 'RO + UV + UF + TDS', '10 L Capacity', ""Warranty on MOTER/SMPS available from Manufacture. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at Manufacture or service center address after that Manufacture will replace MOTER/SMPS (Manufacture will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) â?¢ All service will chargeable""]",4,124,31
